DATE,FEDFUNDS,Inflation Rate
1962-02-01,2.37,0.904825737265414
1962-03-01,2.85,1.105898123324403
1962-04-01,2.78,1.3418316001341903
1962-05-01,2.36,1.3404825737265367
1962-06-01,2.68,1.239946380697054
1962-07-01,2.71,1.0026737967914343
1962-08-01,2.93,1.135604542418169
1962-09-01,2.9,1.4676450967311583
1962-10-01,2.9,1.3342228152101354
1962-11-01,2.94,1.3342228152101354
1962-12-01,2.93,1.2329223592135867
1963-01-01,2.92,1.3315579227696475
1963-02-01,3.0,1.2288276320159448
1963-03-01,2.98,1.1269472986410336
1963-04-01,2.9,0.8937437934458774
1963-05-01,3.0,0.8928571428571532
1963-06-01,2.99,1.324064879179075
1963-07-01,3.02,1.5552614162806169
1963-08-01,3.49,1.5521796565389658
1963-09-01,3.48,0.9861932938855922
1963-10-01,3.5,1.2179065174456913
1963-11-01,3.48,1.316655694535886
1963-12-01,3.38,1.6458196181698488
1964-01-01,3.48,1.64257555847569
1964-02-01,3.48,1.4107611548556422
1964-03-01,3.43,1.4093739757456563
1964-04-01,3.47,1.5419947506561642
1964-05-01,3.5,1.5404785316289704
1964-06-01,3.5,1.3067624959163742
1964-07-01,3.42,1.0752688172042955
1964-08-01,3.5,0.9756097560975632
1964-09-01,3.45,1.1718749999999982
1964-10-01,3.36,1.2032520325203284
1964-11-01,3.52,1.3970110461338523
1964-12-01,3.85,1.1981865284974125
1965-01-01,3.9,1.0989010989010985
1965-02-01,3.98,1.1970236169524457
1965-03-01,4.05,1.1958629605688347
1965-04-01,4.09,1.3893376413570266
1965-05-01,4.1,1.6139444803098775
1965-06-01,4.05,1.9348597226700994
1965-07-01,4.09,1.8052869116698862
1965-08-01,4.12,1.610305958132045
1965-09-01,4.02,1.7374517374517462
1965-10-01,4.08,1.7030848329048764
1965-11-01,4.1,1.7302146747837204
1965-12-01,4.32,1.9200000000000046
1966-01-01,4.42,1.918158567774929
1966-02-01,4.6,2.557544757033239
1966-03-01,4.66,2.778664963270524
1966-04-01,4.67,2.8680688336520146
1966-05-01,4.9,2.76365946632783
1966-06-01,5.17,2.4359379943056094
1966-07-01,5.3,2.75490816972769
1966-08-01,5.53,3.48652931854199
1966-09-01,5.4,3.5736875395319383
1966-10-01,5.53,3.7914691943128056
1966-11-01,5.76,3.5590551181102446
